arm,benchmark,n,accuracy,extract_fail,truncated,mean_gen_tokens
acc1,mmlu,250,0.708,0.0,0.004,327.336
acc1,gsm8k,250,0.912,0.0,0.008,267.716
acc1,all,500,0.81,0.0,0.006,297.526
acc2_keep13056,mmlu,250,0.684,0.008,0.02,286.7
acc2_keep13056,gsm8k,250,0.904,0.0,0.016,239.38
acc2_keep13056,all,500,0.794,0.004,0.018,263.04
acc2_keep13824,mmlu,250,0.672,0.0,0.008,281.356
acc2_keep13824,gsm8k,250,0.908,0.0,0.008,237.38
acc2_keep13824,all,500,0.79,0.0,0.008,259.368
acc2_keep14592,mmlu,250,0.66,0.008,0.008,296.464
acc2_keep14592,gsm8k,250,0.904,0.0,0.02,263.696
acc2_keep14592,all,500,0.782,0.004,0.014,280.08
acc2_keep15040,mmlu,250,0.696,0.012,0.024,321.388
acc2_keep15040,gsm8k,250,0.908,0.0,0.024,260.176
acc2_keep15040,all,500,0.802,0.006,0.024,290.782
acc3_b16_g00,mmlu,250,0.7,0.0,0.004,328.98
acc3_b16_g00,gsm8k,250,0.908,0.0,0.02,273.812
acc3_b16_g00,all,500,0.804,0.0,0.012,301.396
acc3_b16_g01,mmlu,250,0.708,0.0,0.008,332.116
acc3_b16_g01,gsm8k,250,0.912,0.0,0.016,272.5
acc3_b16_g01,all,500,0.81,0.0,0.012,302.308
acc3_b16_g02,mmlu,250,0.688,0.0,0.012,329.728
acc3_b16_g02,gsm8k,250,0.912,0.0,0.012,268.612
acc3_b16_g02,all,500,0.8,0.0,0.012,299.17
acc3_b16_g03,mmlu,250,0.708,0.0,0.012,330.268
acc3_b16_g03,gsm8k,250,0.908,0.0,0.016,271.588
acc3_b16_g03,all,500,0.808,0.0,0.014,300.928
acc3_b16_g04,mmlu,250,0.7,0.0,0.004,332.576
acc3_b16_g04,gsm8k,250,0.904,0.0,0.02,273.636
acc3_b16_g04,all,500,0.802,0.0,0.012,303.106
acc3_b16_g05,mmlu,250,0.696,0.0,0.016,336.9
acc3_b16_g05,gsm8k,250,0.912,0.0,0.012,266.5
acc3_b16_g05,all,500,0.804,0.0,0.014,301.7
acc3_b16_g06,mmlu,250,0.696,0.0,0.012,334.484
acc3_b16_g06,gsm8k,250,0.908,0.0,0.012,264.856
acc3_b16_g06,all,500,0.802,0.0,0.012,299.67
acc3_b16_g07,mmlu,250,0.704,0.004,0.012,329.472
acc3_b16_g07,gsm8k,250,0.912,0.0,0.012,268.712
acc3_b16_g07,all,500,0.808,0.002,0.012,299.092
acc3_b16_g08,mmlu,250,0.708,0.0,0.004,332.6
acc3_b16_g08,gsm8k,250,0.904,0.0,0.012,272.416
acc3_b16_g08,all,500,0.806,0.0,0.008,302.508
acc3_b16_g09,mmlu,250,0.684,0.0,0.012,329.696
acc3_b16_g09,gsm8k,250,0.908,0.0,0.008,267.56
acc3_b16_g09,all,500,0.796,0.0,0.01,298.628
