arm,benchmark,changed_pct_vs_acc1
acc2_keep10752,gsm8k,16.40
acc2_keep11520,gsm8k,12.00
acc2_keep12288,gsm8k,10.00
acc2_keep13056,mmlu,20.00
acc2_keep13056,gsm8k,7.20
acc2_keep13824,mmlu,13.60
acc2_keep13824,gsm8k,4.80
acc2_keep14592,mmlu,12.80
acc2_keep14592,gsm8k,6.00
acc2_keep15040,mmlu,10.40
acc2_keep15040,gsm8k,4.80
acc2_keep9216,gsm8k,47.60
acc2_keep9984,gsm8k,18.80
acc3_b16_g00,mmlu,8.00
acc3_b16_g00,gsm8k,3.60
acc3_b16_g01,mmlu,4.00
acc3_b16_g01,gsm8k,4.00
acc3_b16_g02,mmlu,6.80
acc3_b16_g02,gsm8k,2.00
acc3_b16_g03,mmlu,6.80
acc3_b16_g03,gsm8k,2.40
acc3_b16_g04,mmlu,8.40
acc3_b16_g04,gsm8k,4.40
acc3_b16_g05,mmlu,6.40
acc3_b16_g05,gsm8k,2.00
acc3_b16_g06,mmlu,7.20
acc3_b16_g06,gsm8k,2.80
acc3_b16_g07,mmlu,7.60
acc3_b16_g07,gsm8k,3.20
acc3_b16_g08,mmlu,6.80
acc3_b16_g08,gsm8k,4.40
acc3_b16_g09,mmlu,6.80
acc3_b16_g09,gsm8k,2.40
