arm,benchmark,n,accuracy,extract_fail,truncated,mean_gen_tokens
acc1,mmlu,1000,0.725,0.003,0.012,333.211
acc1,gsm8k,1000,0.94,0.0,0.006,260.533
acc1,all,2000,0.8325,0.0015,0.009,296.872
acc2_keep12288,mmlu,1000,0.645,0.009,0.019,287.95
acc2_keep12288,gsm8k,1000,0.91,0.0,0.017,250.525
acc2_keep12288,all,2000,0.7775,0.0045,0.018,269.2375
acc2_keep13056,mmlu,1000,0.668,0.004,0.018,290.293
acc2_keep13056,gsm8k,1000,0.926,0.0,0.007,236.418
acc2_keep13056,all,2000,0.797,0.002,0.0125,263.3555
acc2_keep13824,mmlu,1000,0.702,0.006,0.013,289.933
acc2_keep13824,gsm8k,1000,0.929,0.0,0.005,237.366
acc2_keep13824,all,2000,0.8155,0.003,0.009,263.6495
acc2_keep14592,mmlu,1000,0.708,0.008,0.014,309.336
acc2_keep14592,gsm8k,1000,0.937,0.0,0.012,253.265
acc2_keep14592,all,2000,0.8225,0.004,0.013,281.3005
acc2_keep15040,mmlu,1000,0.728,0.007,0.013,315.712
acc2_keep15040,gsm8k,1000,0.933,0.0,0.012,252.573
acc2_keep15040,all,2000,0.8305,0.0035,0.0125,284.1425
acc3_b16_g00,mmlu,1000,0.734,0.003,0.013,331.95
acc3_b16_g00,gsm8k,1000,0.943,0.0,0.009,259.95
acc3_b16_g00,all,2000,0.8385,0.0015,0.011,295.95
acc3_b16_g01,mmlu,1000,0.725,0.002,0.01,331.601
acc3_b16_g01,gsm8k,1000,0.944,0.0,0.006,259.231
acc3_b16_g01,all,2000,0.8345,0.001,0.008,295.416
acc3_b16_g02,mmlu,1000,0.737,0.006,0.017,335.541
acc3_b16_g02,gsm8k,1000,0.939,0.0,0.01,260.283
acc3_b16_g02,all,2000,0.838,0.003,0.0135,297.912
acc3_b16_g03,mmlu,1000,0.732,0.003,0.012,333.566
acc3_b16_g03,gsm8k,1000,0.942,0.0,0.006,262.027
acc3_b16_g03,all,2000,0.837,0.0015,0.009,297.7965
acc3_b16_g04,mmlu,1000,0.723,0.003,0.011,333.285
acc3_b16_g04,gsm8k,1000,0.941,0.0,0.009,261.195
acc3_b16_g04,all,2000,0.832,0.0015,0.01,297.24
acc3_b16_g05,mmlu,1000,0.731,0.004,0.014,331.506
acc3_b16_g05,gsm8k,1000,0.944,0.0,0.009,260.123
acc3_b16_g05,all,2000,0.8375,0.002,0.0115,295.8145
acc3_b16_g06,mmlu,1000,0.725,0.003,0.01,334.737
acc3_b16_g06,gsm8k,1000,0.939,0.0,0.006,260.622
acc3_b16_g06,all,2000,0.832,0.0015,0.008,297.6795
acc3_b16_g07,mmlu,1000,0.721,0.001,0.013,334.609
acc3_b16_g07,gsm8k,1000,0.94,0.0,0.008,261.4
acc3_b16_g07,all,2000,0.8305,0.0005,0.0105,298.0045
acc3_b16_g08,mmlu,1000,0.716,0.007,0.015,335.284
acc3_b16_g08,gsm8k,1000,0.941,0.0,0.008,260.108
acc3_b16_g08,all,2000,0.8285,0.0035,0.0115,297.696
acc3_b16_g09,mmlu,1000,0.726,0.002,0.013,333.365
acc3_b16_g09,gsm8k,1000,0.934,0.0,0.011,264.341
acc3_b16_g09,all,2000,0.83,0.001,0.012,298.853
