arm,benchmark,n,accuracy,extract_fail,truncated,mean_gen_tokens
acc1,mmlu,250,0.664,0.02,0.032,325.068
acc1,gsm8k,250,0.828,0.0,0.012,251.848
acc1,all,500,0.746,0.01,0.022,288.458
acc2_keep11520,mmlu,250,0.588,0.036,0.04,286.32
acc2_keep11520,gsm8k,250,0.496,0.0,0.036,245.832
acc2_keep11520,all,500,0.542,0.018,0.038,266.076
acc2_keep12288,mmlu,250,0.604,0.024,0.028,310.332
acc2_keep12288,gsm8k,250,0.624,0.0,0.004,239.388
acc2_keep12288,all,500,0.614,0.012,0.016,274.86
acc2_keep12800,mmlu,250,0.648,0.012,0.024,306.796
acc2_keep12800,gsm8k,250,0.688,0.0,0.004,236.0
acc2_keep12800,all,500,0.668,0.006,0.014,271.398
acc2_keep13568,mmlu,250,0.648,0.012,0.028,311.496
acc2_keep13568,gsm8k,250,0.756,0.0,0.008,246.032
acc2_keep13568,all,500,0.702,0.006,0.018,278.764
acc2_keep14080,mmlu,250,0.672,0.016,0.02,313.46
acc2_keep14080,gsm8k,250,0.8,0.0,0.02,255.996
acc2_keep14080,all,500,0.736,0.008,0.02,284.728
acc2_modelopt_keep11520,mmlu,250,0.544,0.048,0.064,334.308
acc2_modelopt_keep11520,gsm8k,250,0.608,0.0,0.024,252.008
acc2_modelopt_keep11520,all,500,0.576,0.024,0.044,293.158
acc2_modelopt_keep12288,mmlu,250,0.568,0.024,0.032,309.0
acc2_modelopt_keep12288,gsm8k,250,0.672,0.0,0.016,241.892
acc2_modelopt_keep12288,all,500,0.62,0.012,0.024,275.446
acc2_modelopt_keep12800,mmlu,250,0.596,0.028,0.04,328.376
acc2_modelopt_keep12800,gsm8k,250,0.74,0.0,0.012,249.204
acc2_modelopt_keep12800,all,500,0.668,0.014,0.026,288.79
acc2_modelopt_keep13568,mmlu,250,0.616,0.016,0.02,311.736
acc2_modelopt_keep13568,gsm8k,250,0.796,0.0,0.024,258.524
acc2_modelopt_keep13568,all,500,0.706,0.008,0.022,285.13
acc2_modelopt_keep14080,mmlu,250,0.664,0.012,0.02,311.664
acc2_modelopt_keep14080,gsm8k,250,0.8,0.0,0.012,249.644
acc2_modelopt_keep14080,all,500,0.732,0.006,0.016,280.654
acc3_b16_g00,mmlu,250,0.672,0.012,0.016,317.744
acc3_b16_g00,gsm8k,250,0.816,0.0,0.016,256.408
acc3_b16_g00,all,500,0.744,0.006,0.016,287.076
acc3_b16_g01,mmlu,250,0.672,0.016,0.024,321.756
acc3_b16_g01,gsm8k,250,0.808,0.0,0.02,256.268
acc3_b16_g01,all,500,0.74,0.008,0.022,289.012
acc3_b16_g02,mmlu,250,0.7,0.016,0.02,323.848
acc3_b16_g02,gsm8k,250,0.804,0.0,0.02,258.148
acc3_b16_g02,all,500,0.752,0.008,0.02,290.998
acc3_b16_g03,mmlu,250,0.668,0.016,0.016,316.04
acc3_b16_g03,gsm8k,250,0.812,0.0,0.016,252.064
acc3_b16_g03,all,500,0.74,0.008,0.016,284.052
acc3_b16_g04,mmlu,250,0.692,0.024,0.036,331.06
acc3_b16_g04,gsm8k,250,0.828,0.0,0.02,258.068
acc3_b16_g04,all,500,0.76,0.012,0.028,294.564
acc3_b16_g05,mmlu,250,0.668,0.028,0.032,328.928
acc3_b16_g05,gsm8k,250,0.828,0.0,0.016,256.592
acc3_b16_g05,all,500,0.748,0.014,0.024,292.76
acc3_b16_g06,mmlu,250,0.688,0.02,0.024,323.808
acc3_b16_g06,gsm8k,250,0.792,0.0,0.036,271.608
acc3_b16_g06,all,500,0.74,0.01,0.03,297.708
acc3_b16_g07,mmlu,250,0.664,0.016,0.016,320.168
acc3_b16_g07,gsm8k,250,0.796,0.0,0.024,259.216
acc3_b16_g07,all,500,0.73,0.008,0.02,289.692
acc3_b16_g08,mmlu,250,0.688,0.016,0.024,322.2
acc3_b16_g08,gsm8k,250,0.808,0.0,0.02,256.028
acc3_b16_g08,all,500,0.748,0.008,0.022,289.114
acc3_b16_g09,mmlu,250,0.676,0.012,0.016,316.104
acc3_b16_g09,gsm8k,250,0.82,0.0,0.024,259.588
acc3_b16_g09,all,500,0.748,0.006,0.02,287.846
