arm,benchmark,n,accuracy,extract_fail,truncated,mean_gen_tokens
acc1,mmlu,649,0.6795069337442219,0.023112480739599383,0.02465331278890601,327.00924499229586
acc1,gsm8k,1000,0.857,0.0,0.01,247.78
acc1,all,1649,0.7871437234687689,0.009096422073984234,0.015767131594906003,278.96240145542754
acc2_keep11520,gsm8k,1000,0.541,0.0,0.014,230.309
acc2_keep11520,all,1000,0.541,0.0,0.014,230.309
acc2_keep12288,gsm8k,1000,0.676,0.0,0.006,240.535
acc2_keep12288,all,1000,0.676,0.0,0.006,240.535
acc2_keep12800,gsm8k,1000,0.704,0.0,0.007,234.213
acc2_keep12800,all,1000,0.704,0.0,0.007,234.213
acc2_keep13568,gsm8k,1000,0.793,0.0,0.011,245.569
acc2_keep13568,all,1000,0.793,0.0,0.011,245.569
acc2_keep14080,gsm8k,1000,0.836,0.0,0.008,248.193
acc2_keep14080,all,1000,0.836,0.0,0.008,248.193
acc2_modelopt_keep11520,gsm8k,1000,0.649,0.0,0.017,246.673
acc2_modelopt_keep11520,all,1000,0.649,0.0,0.017,246.673
acc2_modelopt_keep12288,gsm8k,1000,0.721,0.0,0.008,235.25
acc2_modelopt_keep12288,all,1000,0.721,0.0,0.008,235.25
acc2_modelopt_keep12800,gsm8k,1000,0.786,0.0,0.015,243.718
acc2_modelopt_keep12800,all,1000,0.786,0.0,0.015,243.718
acc2_modelopt_keep13568,gsm8k,1000,0.817,0.0,0.015,250.188
acc2_modelopt_keep13568,all,1000,0.817,0.0,0.015,250.188
acc2_modelopt_keep14080,gsm8k,1000,0.832,0.0,0.008,242.716
acc2_modelopt_keep14080,all,1000,0.832,0.0,0.008,242.716
acc3_b16_g00,gsm8k,1000,0.861,0.0,0.011,247.958
acc3_b16_g00,all,1000,0.861,0.0,0.011,247.958
acc3_b16_g01,gsm8k,1000,0.865,0.0,0.011,250.276
acc3_b16_g01,all,1000,0.865,0.0,0.011,250.276
acc3_b16_g02,gsm8k,1000,0.858,0.0,0.012,250.058
acc3_b16_g02,all,1000,0.858,0.0,0.012,250.058
acc3_b16_g03,gsm8k,1000,0.857,0.0,0.014,250.144
acc3_b16_g03,all,1000,0.857,0.0,0.014,250.144
acc3_b16_g04,gsm8k,1000,0.864,0.0,0.011,248.754
acc3_b16_g04,all,1000,0.864,0.0,0.011,248.754
acc3_b16_g05,gsm8k,1000,0.854,0.0,0.012,249.327
acc3_b16_g05,all,1000,0.854,0.0,0.012,249.327
acc3_b16_g06,gsm8k,1000,0.852,0.0,0.015,251.644
acc3_b16_g06,all,1000,0.852,0.0,0.015,251.644
acc3_b16_g07,gsm8k,1000,0.848,0.0,0.012,250.375
acc3_b16_g07,all,1000,0.848,0.0,0.012,250.375
acc3_b16_g08,gsm8k,1000,0.862,0.0,0.012,250.538
acc3_b16_g08,all,1000,0.862,0.0,0.012,250.538
acc3_b16_g09,gsm8k,1000,0.858,0.0,0.016,251.967
acc3_b16_g09,all,1000,0.858,0.0,0.016,251.967
